#{"t_start": 1740184203.352811, "env_id": null}
r,l,t
0.0,600,71.841889
0.0,600,143.003572
0.0,600,217.059024
0.0,600,291.22704
0.0,600,361.738076
0.0,600,431.578994
0.0,600,513.310807
0.0,600,584.170861
0.0,600,656.784048
0.0,600,727.492724
0.0,600,802.114593
0.0,600,874.390665
0.0,600,944.741018
0.0,600,1017.19413
1.0,800,1123.345619
0.0,600,1193.457679
1.1,800,1292.807885
0.0,600,1365.522092
0.0,600,1452.335083
1.0,800,1571.392672
0.0,600,1654.404185
0.0,600,1734.741343
0.0,600,1822.613479
0.0,600,1910.772283
0.0,600,2033.436217
0.0,600,2154.070829
0.0,600,2244.989583
0.0,305,2288.691862
0.0,600,2360.735108
0.0,600,2431.236179
0.0,600,2504.237419
0.0,600,2574.167599
0.0,600,2643.999611
0.0,600,2762.678757
1.0,800,2855.102056
0.0,600,2923.947381
0.0,600,2993.54661
0.0,600,3061.952151
0.0,600,3129.168217
0.0,600,3199.35465
0.0,600,3272.386862
0.0,600,3342.42003
0.0,600,3413.639812
1.1,800,3512.21885
1.0,800,3606.671567
1.0,800,3700.265677
0.0,600,3771.284666
0.0,600,3839.223836
0.0,600,3907.827671
1.0,800,4001.712739
0.0,600,4073.76237
0.0,600,4148.620045
0.0,600,4219.678918
0.0,600,4289.862756
0.0,600,4361.861147
0.0,600,4434.550823
0.0,600,4503.407883
1.0,800,4594.866584
0.0,600,4668.928132
0.0,600,4740.113627
0.0,600,4810.213732
0.0,600,4880.769601
0.0,600,4952.909733
0.0,600,5025.332076
0.0,600,5095.612749
0.0,600,5176.137199
0.0,600,5248.776557
0.0,600,5322.759897
0.0,600,5394.980868
0.0,600,5467.469894
0.0,600,5536.555041
0.0,600,5609.364541
0.0,600,5679.623
0.0,600,5748.657986
0.0,600,5821.951872
1.0,800,5920.537861
0.0,600,5988.811259
1.0,800,6082.8434
0.0,600,6155.08415
0.0,600,6225.647732
0.0,600,6296.247809
1.0,800,6391.204875
1.0,800,6484.887879
0.0,600,6554.040495
1.0,800,6646.591151
0.0,600,6717.774014
0.0,600,6789.437435
0.0,600,6861.89095
0.0,600,6935.452747
0.0,600,7006.31087
0.0,600,7076.519178
0.0,600,7146.43431
1.0,800,7240.898247
0.0,600,7310.061018
0.0,600,7379.57213
0.0,600,7448.855435
1.0,800,7623.408426
0.0,600,7694.137367
1.1,800,7789.357867
0.0,600,7859.838464
1.0,800,7951.940525
0.0,600,8022.772293
0.0,600,8096.323453
1.1,800,8191.761853
1.1,800,8285.473904
0.0,600,8357.939773
0.0,600,8431.724955
1.0,800,8523.828828
0.0,600,8595.550106
1.0,800,8693.226796
1.0,800,8793.686229
1.0,800,8891.184077
0.0,600,8972.463297
1.0,800,9077.841346
1.0,800,9176.9201
1.0,800,9272.5373
0.0,600,9347.149625
1.0,800,9445.285135
1.0,800,9542.110273
1.1,800,9641.050637
1.0,800,9737.645677
1.0,800,9842.736706
0.0,600,9915.998973
0.0,600,9989.89856
0.0,600,10097.989459
1.1,800,10192.807122
1.2,800,10289.556271
1.1,800,10392.87813
1.0,800,10491.091864
1.0,800,10592.528836
0.0,600,10661.691557
0.0,600,10732.350267
1.0,800,10838.772069
0.0,600,10912.931967
0.0,600,10987.997252
1.0,800,11086.284622
1.0,800,11181.576294
0.0,600,11251.62395
0.0,600,11325.649715
1.0,800,11427.126118
1.2,800,11525.837932
1.0,800,11626.346237
1.2,800,11727.501669
1.0,800,11827.571736
0.0,600,11894.96908
0.0,600,11970.465193
0.0,600,12043.941243
0.0,600,12116.162892
1.0,800,12213.555336
0.0,600,12285.598398
0.0,600,12358.599497
0.0,600,12428.022715
0.0,600,12496.543029
